squadra,avversario,home/away,punti,numero della giornata,punti cumulativi,punti avversario,punti cumulativi before match,punti avversario before match,differenza punti before match
Arsenal,West Brom,home,3,1,3,0,0,0,0
West Brom,Arsenal,away,0,1,0,3,0,0,0
Bolton,Stoke,home,3,2,3,0,0,0,0
Stoke,Bolton,away,0,2,0,3,0,0,0
Everton,Blackburn,home,0,3,0,3,0,0,0
Blackburn,Everton,away,3,3,3,0,0,0,0
Hull,Fulham,home,3,4,3,0,0,0,0
Fulham,Hull,away,0,4,0,3,0,0,0
Middlesbrough,Tottenham,home,3,5,3,0,0,0,0
Tottenham,Middlesbrough,away,0,5,0,3,0,0,0
Sunderland,Liverpool,home,0,6,0,3,0,0,0
Liverpool,Sunderland,away,3,6,3,0,0,0,0
West Ham,Wigan,home,3,7,3,0,0,0,0
Wigan,West Ham,away,0,7,0,3,0,0,0
Aston Villa,Man City,home,3,8,3,0,0,0,0
Man City,Aston Villa,away,0,8,0,3,0,0,0
Chelsea,Portsmouth,home,3,9,3,0,0,0,0
Portsmouth,Chelsea,away,0,9,0,3,0,0,0
Man United,Newcastle,home,1,10,1,1,0,0,0
Newcastle,Man United,away,1,10,1,1,0,0,0
Blackburn,Hull,home,1,11,4,4,3,3,0
Hull,Blackburn,away,1,11,4,4,3,3,0
Fulham,Arsenal,home,3,12,3,3,0,3,-3
Arsenal,Fulham,away,0,12,3,3,3,0,3
Liverpool,Middlesbrough,home,3,13,6,3,3,3,0
Middlesbrough,Liverpool,away,0,13,3,6,3,3,0
Newcastle,Bolton,home,3,14,4,3,1,3,-2
Bolton,Newcastle,away,0,14,3,4,3,1,2
Stoke,Aston Villa,home,3,15,3,3,0,3,-3
Aston Villa,Stoke,away,0,15,3,3,3,0,3
Tottenham,Sunderland,home,0,16,0,3,0,0,0
Sunderland,Tottenham,away,3,16,3,0,0,0,0
West Brom,Everton,home,0,17,0,3,0,0,0
Everton,West Brom,away,3,17,3,0,0,0,0
Man City,West Ham,home,3,18,3,3,0,3,-3
West Ham,Man City,away,0,18,3,3,3,0,3
Wigan,Chelsea,home,0,19,0,6,0,3,-3
Chelsea,Wigan,away,3,19,6,0,3,0,3
Portsmouth,Man United,home,0,20,0,4,0,1,-1
Man United,Portsmouth,away,3,20,4,0,1,0,1
Arsenal,Newcastle,home,3,21,6,4,3,4,-1
Newcastle,Arsenal,away,0,21,4,6,4,3,1
Bolton,West Brom,home,1,22,4,1,3,0,3
West Brom,Bolton,away,1,22,1,4,0,3,-3
Everton,Portsmouth,home,0,23,3,3,3,0,3
Portsmouth,Everton,away,3,23,3,3,0,3,-3
Hull,Wigan,home,0,24,4,3,4,0,4
Wigan,Hull,away,3,24,3,4,0,4,-4
Middlesbrough,Stoke,home,3,25,6,3,3,3,0
Stoke,Middlesbrough,away,0,25,3,6,3,3,0
West Ham,Blackburn,home,3,26,6,4,3,4,-1
Blackburn,West Ham,away,0,26,4,6,4,3,1
Aston Villa,Liverpool,home,1,27,4,7,3,6,-3
Liverpool,Aston Villa,away,1,27,7,4,6,3,3
Chelsea,Tottenham,home,1,28,7,1,6,0,6
Tottenham,Chelsea,away,1,28,1,7,0,6,-6
Sunderland,Man City,home,0,29,3,6,3,3,0
Man City,Sunderland,away,3,29,6,3,3,3,0
Blackburn,Arsenal,home,0,30,4,9,4,6,-2
Arsenal,Blackburn,away,3,30,9,4,6,4,2
Fulham,Bolton,home,3,31,6,4,3,4,-1
Bolton,Fulham,away,0,31,4,6,4,3,1
Liverpool,Man United,home,3,32,10,4,7,4,3
Man United,Liverpool,away,0,32,4,10,4,7,-3
Man City,Chelsea,home,0,33,6,10,6,7,-1
Chelsea,Man City,away,3,33,10,6,7,6,1
Newcastle,Hull,home,0,34,4,7,4,4,0
Hull,Newcastle,away,3,34,7,4,4,4,0
Portsmouth,Middlesbrough,home,3,35,6,6,3,6,-3
Middlesbrough,Portsmouth,away,0,35,6,6,6,3,3
West Brom,West Ham,home,3,36,4,6,1,6,-5
West Ham,West Brom,away,0,36,6,4,6,1,5
Wigan,Sunderland,home,1,37,4,4,3,3,0
Sunderland,Wigan,away,1,37,4,4,3,3,0
Stoke,Everton,home,0,38,3,6,3,3,0
Everton,Stoke,away,3,38,6,3,3,3,0
Tottenham,Aston Villa,home,0,39,1,7,1,4,-3
Aston Villa,Tottenham,away,3,39,7,1,4,1,3
Blackburn,Fulham,home,3,40,7,6,4,6,-2
Fulham,Blackburn,away,0,40,6,7,6,4,2
Bolton,Arsenal,home,0,41,4,12,4,9,-5
Arsenal,Bolton,away,3,41,12,4,9,4,5
Liverpool,Stoke,home,1,42,11,4,10,3,7
Stoke,Liverpool,away,1,42,4,11,3,10,-7
Sunderland,Middlesbrough,home,3,43,7,6,4,6,-2
Middlesbrough,Sunderland,away,0,43,6,7,6,4,2
West Ham,Newcastle,home,3,44,9,4,6,4,2
Newcastle,West Ham,away,0,44,4,9,4,6,-2
Chelsea,Man United,home,1,45,11,5,10,4,6
Man United,Chelsea,away,1,45,5,11,4,10,-6
Hull,Everton,home,1,46,8,7,7,6,1
Everton,Hull,away,1,46,7,8,6,7,-1
Man City,Portsmouth,home,3,47,9,6,6,6,0
Portsmouth,Man City,away,0,47,6,9,6,6,0
Tottenham,Wigan,home,1,48,2,5,1,4,-3
Wigan,Tottenham,away,1,48,5,2,4,1,3
West Brom,Aston Villa,home,0,49,4,10,4,7,-3
Aston Villa,West Brom,away,3,49,10,4,7,4,3
Arsenal,Hull,home,0,50,12,11,12,8,4
Hull,Arsenal,away,3,50,11,12,8,12,-4
Aston Villa,Sunderland,home,3,51,13,7,10,7,3
Sunderland,Aston Villa,away,0,51,7,13,7,10,-3
Everton,Liverpool,home,0,52,7,14,7,11,-4
Liverpool,Everton,away,3,52,14,7,11,7,4
Fulham,West Ham,home,0,53,6,12,6,9,-3
West Ham,Fulham,away,3,53,12,6,9,6,3
Man United,Bolton,home,3,54,8,4,5,4,1
Bolton,Man United,away,0,54,4,8,4,5,-1
Middlesbrough,West Brom,home,0,55,6,7,6,4,2
West Brom,Middlesbrough,away,3,55,7,6,4,6,-2
Newcastle,Blackburn,home,0,56,4,10,4,7,-3
Blackburn,Newcastle,away,3,56,10,4,7,4,3
Stoke,Chelsea,home,0,57,4,14,4,11,-7
